2024-06-13 19:58:05	INFO	cmd/root.go:54	Namespace	{"namespace": "default"}
2024-06-13 19:58:05	INFO	td.conn.mtproto.rpc	rpc/engine.go:42	Initialized	{"v": "v0.102.0", "conn_id": 0, "dc_id": 2, "retry_interval": "5s", "max_retries": -1}
2024-06-13 19:58:05	INFO	td	telegram/connect.go:114	Starting	{"v": "v0.102.0"}
2024-06-13 19:58:05	INFO	td	telegram/session.go:46	Connection restored from state	{"v": "v0.102.0", "addr": "2001:0b28:f23f:f005:0000:0000:0000:000a", "key_id": "c4639dbb55a7cbed"}
2024-06-13 19:58:05	INFO	td.conn.mtproto.rpc	rpc/engine.go:42	Initialized	{"v": "v0.102.0", "conn_id": 0, "dc_id": 5, "retry_interval": "5s", "max_retries": -1}
2024-06-13 19:58:05	DEBUG	td.conn.mtproto	mtproto/conn.go:198	Run: start	{"v": "v0.102.0", "conn_id": 0, "dc_id": 5}
2024-06-13 19:58:05	INFO	td.conn.mtproto	mtproto/connect.go:44	Key already exists	{"v": "v0.102.0", "conn_id": 0, "dc_id": 5}
2024-06-13 19:58:05	DEBUG	td.conn.mtproto	mtproto/connect.go:49	Generating new session id	{"v": "v0.102.0", "conn_id": 0, "dc_id": 5}
2024-06-13 19:58:05	DEBUG	td.conn.mtproto.group	tdsync/cancel_group.go:48	Task started	{"v": "v0.102.0", "conn_id": 0, "dc_id": 5, "task": "readLoop"}
2024-06-13 19:58:05	DEBUG	td.conn.mtproto.group	tdsync/cancel_group.go:48	Task started	{"v": "v0.102.0", "conn_id": 0, "dc_id": 5, "task": "handleClose"}
2024-06-13 19:58:05	DEBUG	td.conn.mtproto.group	tdsync/cancel_group.go:48	Task started	{"v": "v0.102.0", "conn_id": 0, "dc_id": 5, "task": "pingLoop"}
2024-06-13 19:58:05	DEBUG	td.conn.mtproto.group	tdsync/cancel_group.go:48	Task started	{"v": "v0.102.0", "conn_id": 0, "dc_id": 5, "task": "ackLoop"}
2024-06-13 19:58:05	DEBUG	td.conn.mtproto.group	tdsync/cancel_group.go:48	Task started	{"v": "v0.102.0", "conn_id": 0, "dc_id": 5, "task": "userCallback"}
2024-06-13 19:58:05	DEBUG	td.conn.mtproto.group	tdsync/cancel_group.go:48	Task started	{"v": "v0.102.0", "conn_id": 0, "dc_id": 5, "task": "saltsLoop"}
